CPF_FUNCIONARIO,ID_EVENTO
40547634211,704
47137616800,704
45030425211,2101
52856756855,2101
68694183300,2101
66095608388,1169
54301461022,1935
53603460000,1935
77083986066,1477
24579866300,896
14464415044,896
33411579800,896
68830652377,1131
37795937188,228
62126409988,977
44128201222,977
47196960311,977
37065653233,1219
27085658855,1219
62853375944,1219
27983153522,1050
18922874122,192
29659918088,192
85827090644,1651
47802626588,1651
34579470155,397
27946635344,255
73375887122,255
70909977400,386
93262757288,1571
37995867333,1571
31695970000,1929
70185347711,1929
79906006255,1929
69885941088,651
54917941800,651
92841339200,651
16280178999,1545
52496086633,1545
44594823800,1545
37695716811,931
31088740988,931
29344248633,931
71076603144,18
96810242499,526
79517004799,543
51019319855,622
40986040000,2152
26806660977,2152
47137616800,1065
92211934977,1065
18051746300,1065
92841339200,313
73150230111,1903
99610320122,646
10441892400,646
51021817777,646
51074077655,2121
17680824133,2121
58367202155,560
99650481188,560
88980747788,1717
81151711588,912
37394443800,912
76588566733,912
17269303944,1400
59788639544,1400
43072907477,1400
17378923166,580
45809086000,580
96645193088,580
11099862899,554
26271376977,554
54664157400,350
47785917633,1451
93676529500,1451
88167375733,1484
28608477233,1484
33702138000,1484
88308269288,1446
89264452599,1398
55769729377,1398
67971073933,504
32007189866,504
81527620677,428
47711928477,428
91278340266,1413
50384088777,1413
40956656022,1413
43859871655,195
14327264555,195
17816666288,195
24335297000,2025
23207552177,2025
43471831788,2025
42439064755,244
30064980200,244
76330138933,244
19032259900,1794
34483239266,1794
80539099144,1794
51110568400,1909
33512914777,1909
73552866844,1053
58909341988,1119
39905900066,1596
25730852100,1596
37113502677,1596
74102826577,1057
69035998788,1057
33773128899,1980
69381080999,1980
97953173699,2127
54691140900,2127
95967959299,2127
45100802477,1234
77518859477,1234
81916719566,1234
86566081000,987
90958053600,987
33162954966,987
72414037899,2060
32192432588,2060
18555142811,33
77536121077,33
26247499699,632
31938032866,632
19288213088,632
40405338100,1438
51944648788,1438
43236541899,98
19030831688,624
89608198400,790
38373971144,2185
44229213555,2185
47857511699,2185
94752598800,1427
33409341500,1427
72236457844,1427
19307952899,1189
50193847555,1189
48685713033,1189
36528988855,2124
79969976088,389
58052779722,389
93312437666,513
13667422577,399
19553962644,399
12817254399,399
48685713033,1727
40866312100,419
45809086000,419
11099862899,419
74729060000,2071
24117673077,76
98873380011,76
40724444211,76
73329868922,245
46205611855,245
34984608977,245
20551550677,2086
97527289288,132
47587404299,1602
34978278355,1602
68151379888,177
60614338911,177
76217317700,697
40724444211,697
47196960311,697
43931458955,1790
90649628988,1790
78353432900,120
30802807177,120
53275720800,120
89708789044,1089
31289092888,2241
22798649677,2241
42573088266,1364
43748269800,1364
52747545111,1147
68234673711,1147
31957079500,506
72372559244,1774
88980747788,1774
75445918677,1720
80075071166,2016
57540822744,2016
61985915144,300
44128201222,329
92224859555,329
75985726155,329
43189863300,144
31806425133,558
43848732477,2192
53153015599,281
36230468922,281
44578756000,909
13701575688,909
46431750444,909
61241572766,1640
86536604377,1525
80849838499,1525
99228016200,189
27931915233,189
25914944955,189
88696937244,2095
16948105422,2095
55715879544,1337
87668687000,1337
23708138222,1337
39905900066,2125
98474745911,2125
82300499988,2125
24991761644,1460
44245842755,154
46180702000,767
73028318822,767
55521234177,1667
69381080999,1906
74818545999,1439
94015438288,1439
28822726500,1875
93465701133,2081
37739047899,2081
38907334255,2081
89546984333,1143
76093470511,1143
51134578500,1143
85851245711,770
15839303888,770
43070475599,770
14372698188,592
92581045288,592
73634267833,592
60614338911,1068
59869907499,1979
96292858199,1979
58572197600,1979
19551329688,1201
18444255766,1201
41331383500,41
89832642177,41
60954003500,41
43191452088,1482
49658406155,1482
79594403444,1435
31734731677,1435
40834717277,112
57460052744,112
55551777555,327
50007227600,327
66331177877,1756
47857511699,1756
96786654177,808
28068018777,808
58052779722,1986
10441892400,1986
68456105688,218
78296239888,1429
28064479177,1634
10360818699,890
37814577533,1060
60991877233,1060
98890357400,1060
77988962877,1183
98890357400,1183
26100671433,1726
88462431700,1726
70560844866,1726
62970103400,1991
65319379122,1991
83283767411,2037
87198994599,2037
62613028399,2037
25952654900,43
55769729377,641
79454003455,641
82993570555,641
41510110211,278
49540107211,278
37177271766,278
53765767877,1950
68932229044,1216
61477054822,1216
28842473788,1216
88628716199,2028
11530511500,2028
26271376977,2028
60038025022,121
92529725100,121
43236541899,1294
29941485288,1294
35641928599,381
64957519900,381
99228016200,1295
17054080955,1295
23255177300,1569
57975635099,2091
92511467211,655
41967384433,655
79977549700,655
73150230111,1788
76553703700,1788
68932229044,1069
82038712088,1069
41522820888,2092
81296681577,2092
67125205500,531
80302795744,531
23328881522,531
41064758122,769
29933459233,1239
18051746300,1239
37668647000,2045
90649628988,2045
89003762099,590
66298555900,590
42439064755,746
79594403444,746
79795732188,746
90865861988,1649
31695970000,1649
28064479177,2147
12927697933,2147
50785773788,2147
60303879288,937
85839913599,937
32228031533,921
96092160566,439
93015510477,439
74155764544,1507
61621079733,1507
29030437600,1109
57265059800,1109
98398888977,1109
47124343688,1848
89578665744,1848
57922286633,1848
73928227300,2024
88711031300,148
73854981599,148
56531766488,148
80300904200,167
17627170188,1444
45588751933,1887
43861309188,443
14195592300,443
50384088777,443
21307331744,1855
59869907499,1855
56366682366,1855
51014634855,467
57618791155,467
12630403733,907
52747545111,907
88695859055,907
26041677866,628
73443787011,628
50864661488,2075
32158679588,2075
10817334466,656
62704078699,656
81338864900,938
76588566733,938
95550513055,938
52128499422,1647
44128201222,1647
60169364488,1647
26114822688,2006
78353432900,2006
97018502200,1786
58225801577,1786
39679119777,1786
19973371699,1911
81222887900,1911
68871150699,1911
96347765233,1973
10985559888,1973
27657081699,328
53248186822,328
12346906088,1449
96007787955,933
62104806088,670
12855483533,670
82508582988,670
28068018777,843
82038712088,843
77618925555,843
48912953099,1470
79034224722,1470
79795732188,935
27957548866,935
83546362677,935
74519726666,1908
34768303300,1908
40405338100,1350
74729060000,1350
42981374066,1350
78468647777,1678
89183390200,405
62126409988,1241
45354282122,1749
74401784244,1964
96112751455,1964
68051293700,2160
81045964466,2160
16453531255,2160
58233432211,2001
92211934977,2111
85851387422,2176
63870544511,2176
82038712088,1442
27563364244,800
13920080500,800
39057559122,800
